ntw	slice	metrics	min	max	mean	p25	p50	p75
"IT01"	"it01_092014.xlsx"	"Betweenness"	0	267591.86	1098.3716	0	0	24.269237
"IT01"	"it01_092014.xlsx"	"Eigenvalue"	0	.50763576	.03228438	.02229645	.03050656	.03817508
"IT01"	"it01_082014.xlsx"	"In-Degree"	0	341	5.9318182	1	1	2
"IT01"	"it01_082014.xlsx"	"Out-Degree"	0	310	5.9318182	1	1	2
"IT01"	"it01_082014.xlsx"	"Closeness"	0	0	0	0	0	0
"IT01"	"it01_082014.xlsx"	"Betweenness"	0	320652.63	1197.4363	0	0	30.834935
"IT01"	"it01_082014.xlsx"	"Eigenvalue"	-.52401427	0	-.03229039	-.03832929	-.03045973	-.0232503
"IT01"	"it01_072014.xlsx"	"In-Degree"	0	334	5.8595825	1	1	2
"IT01"	"it01_072014.xlsx"	"Out-Degree"	0	316	5.8595825	1	1	2
"IT01"	"it01_072014.xlsx"	"Closeness"	0	0	0	0	0	0
"IT01"	"it01_072014.xlsx"	"Betweenness"	0	266222.56	1077.7796	0	0	29.205206
"IT01"	"it01_072014.xlsx"	"Eigenvalue"	-.55024567	0	-.03210267	-.03845662	-.03148698	-.0220119
"IT01"	"it01_062014.xlsx"	"In-Degree"	0	335	5.8314607	1	1	2
"IT01"	"it01_062014.xlsx"	"Out-Degree"	0	247	5.8314607	1	1	2
"IT01"	"it01_062014.xlsx"	"Closeness"	0	0	0	0	0	0
"IT01"	"it01_062014.xlsx"	"Betweenness"	0	278632.24	1506.9058	0	1.4242119	42.180356
"IT01"	"it01_062014.xlsx"	"Eigenvalue"	-.33473633	0	-.03078821	-.03571956	-.02338452	-.01548388
"IT01"	"it01_052014.xlsx"	"In-Degree"	0	336	5.7734082	1	1	2
"IT01"	"it01_052014.xlsx"	"Out-Degree"	0	315	5.7734082	1	1	2
"IT01"	"it01_052014.xlsx"	"Closeness"	0	0	0	0	0	0
"IT01"	"it01_052014.xlsx"	"Betweenness"	0	305207.5	1130.4685	0	0	32.991843
"IT01"	"it01_052014.xlsx"	"Eigenvalue"	-.54855294	0	-.03185535	-.03765945	-.03216177	-.02008867
"IT01"	"it01_042014.xlsx"	"In-Degree"	0	342	5.835514	1	1	2
"IT01"	"it01_042014.xlsx"	"Out-Degree"	0	310	5.835514	1	1	2
"IT01"	"it01_042014.xlsx"	"Closeness"	0	0	0	0	0	0
"IT01"	"it01_042014.xlsx"	"Betweenness"	0	260058.72	1153.5914	0	0	29.355891
"IT01"	"it01_042014.xlsx"	"Eigenvalue"	0	.51214274	.03213394	.0218069	.03090926	.03807305
"IT01"	"it01_032014.xlsx"	"In-Degree"	0	348	5.7620818	1	1	2
"IT01"	"it01_032014.xlsx"	"Out-Degree"	0	305	5.7620818	1	1	2
"IT01"	"it01_032014.xlsx"	"Closeness"	0	0	0	0	0	0
"IT01"	"it01_032014.xlsx"	"Betweenness"	0	263816.2	1100.7314	0	0	30.452017
"IT01"	"it01_032014.xlsx"	"Eigenvalue"	0	.49443867	.03186593	.02181333	.03027953	.03721252
"IT01"	"it01_022014.xlsx"	"In-Degree"	0	343	6.7060998	1	2	3
"IT01"	"it01_022014.xlsx"	"Out-Degree"	0	295	6.7060998	1	2	3
"IT01"	"it01_022014.xlsx"	"Closeness"	0	0	0	0	0	0
"IT01"	"it01_022014.xlsx"	"Betweenness"	0	223787.86	2047.6189	0	.25	37.903717
"IT01"	"it01_022014.xlsx"	"Eigenvalue"	0	.46164584	.02474909	.00421359	.01587931	.03373201
"IT01"	"it01_012014.xlsx"	"In-Degree"	0	339	5.7116451	1	1	2
"IT01"	"it01_012014.xlsx"	"Out-Degree"	0	311	5.7116451	1	1	2
"IT01"	"it01_012014.xlsx"	"Closeness"	0	0	0	0	0	0
"IT01"	"it01_012014.xlsx"	"Betweenness"	0	251197.53	1114.1957	0	0	28.642464
